date,video_id,platform,plays,reach,comments,likes,shares,score
2026-05-10,967046245934064,fb,20684,21760,5,442,7,56
2026-05-10,1269195391966710,fb,7664,7900,0,114,2,41
2026-05-10,1769058097811088,fb,38332,38370,1199,781,7,77
2026-05-10,842634435371875,fb,18943,19626,512,336,3,73
2026-05-10,950364297880185,fb,9448,9216,133,136,0,58
2026-05-10,867735193013841,fb,223854,255801,37,2420,19,59
2026-05-10,769488392912429,fb,6732,6732,261,108,0,68
2026-05-10,1544936643722271,fb,6020,6150,93,80,3,56
2026-05-10,1730299787955983,fb,11213,11087,0,133,3,47
2026-05-10,719970347845701,fb,23884,26181,12,366,6,60
2026-05-10,1624311645498383,fb,20885,24424,4,282,2,52
2026-05-10,1483391286500545,fb,41251,40599,390,635,23,58
2026-05-10,1299817488878471,fb,4865,5003,38,32,0,32
2026-05-10,1005268672175562,fb,6126,6303,92,65,0,53
2026-05-10,796937846629959,fb,16590,17391,1,313,1,47
2026-05-10,1130282035930544,fb,13960,14664,6,247,5,56
2026-05-10,2083101712639031,fb,19723,23193,3,280,1,50
2026-05-10,955314570685700,fb,3056,3063,2,59,0,25
2026-05-10,1934017617248107,fb,4615,4616,8,100,3,42
2026-05-10,1700950354372275,fb,7553,7966,25,158,8,61
2026-05-10,1878143446220097,fb,6834,7267,97,110,3,56
2026-05-10,1353928069903141,fb,4613,4795,5,121,1,36
2026-05-10,1462435125101204,fb,14157,14415,0,159,0,45
2026-05-10,2027719584763163,fb,9197,9302,134,194,5,62
2026-05-10,860368276317988,fb,34808,35116,4,525,30,64
2026-05-10,1267430578879497,fb,5395,5481,1,91,4,39
2026-05-10,2744523959238602,fb,5550,5682,58,144,2,44
2026-05-10,1647132799664170,fb,5996,6122,0,123,3,38
2026-05-10,1973217906895873,fb,5177,5303,39,118,2,36
2026-05-10,1536080201282985,fb,9667,9919,228,225,0,54
2026-05-10,1312907507434093,fb,46359,46087,3,631,91,71
2026-05-10,1841116836557541,fb,5441,5455,30,72,1,29
2026-05-10,976175788228834,fb,5722,5700,2,144,15,53
